Code opérateur,Dénomination opérateur,Préfixe RIO Fixe
FRTE,Orange,F0
SFR0,Société française du radiotéléphone,F1
COMP,Completel,F2
FREE,Free,F3
BOUY,Bouygues Telecom,F4
COLT,Colt technology services,F5
OVH,OVH,F6
MCI,Verizon France,F7
UPCF,NC Numericable,F8
LEGO,Legos,F9
440H,440HZ,FA
ABCO,Hosteur,FB
ADIS,Adenis,FC
ADON,Add-on consulting,FD
AFON,Afone,FE
AICT,AIC Telecoms,FF
AIUS,Ivolea,FG
ALIO,Alionis,FH
ALNI,Alnilam,FI
ALPL,Alphalink,FJ
AMNE,Régie municipale d'électricité et de télédistribution d'Amnéville,FK
ATOW,Worldline,FL
AURA,Auranext,FN
AVIR,Novelcom,FO
AVMM,AVM Multimedia,FP
AXLY,Axialys,FQ
BJTP,BJT Partners,FR
BRET,Bretagne Telecom,FS
BTSI,BT France,FT
BUDG,Budget télécom,FU
BUFR,Tellpe,FV
BUYC,Digicel Antilles Françaises Guyane,FW
CELY,Celya,FX
CHMU,Chmurtz,FY
CLEM,Clemcom Ltd,FZ
CLIM,Compatel limited,G0
CMRP,CMRP,G1
COMC,Comcable,G2
DAUF,Dauphin telecom,G4
DIAB,Diabolocom,G5
DUHA,Duhayon Bruno,G6
DVEN,Digital virgo entertainment,G7
EQFR,Equant France,G9
ETOI,Etoile dièse,GA
EYES,Eyes telecom,GB
FINE,Finarea SA,GC
FING,Fingerprint technologies,GD
FUTU,Futur telecom,GE
GDEV,Géolocalisation Développement électronique et vidéo surveillance,GF
GLOA,Globaltel,GG
GSCO,GS Communication,GH
GUNW,Guyane Networks,GI
GUYA,Guyacom,GJ
HADR,El Hadri Mohammed,GK
HALY,Halys,GL
HUBT,Hub One,GM
ICOM,Kertel Entreprises,GN
IDOM,Idom technologies,GO
IIVC,Interact-iv.com,GP
INBO,Licence 4,GQ
INCL,Intercall,GR
INIT,Acropolis Telecom,GS
IOVO,Iovox Ltd,GT
IPAR,Wibox,GU
IPDI,IP Directions,GV
IPXT,Ipxtel,GW
ITNF,International telecommunication network France,GY
JAG,Jaguar network,GZ
JAGU,Jagu David,H0
KWAO,K-Net,H1
LANE,Lanestel,H2
LEON,Leonix telecom,H3
LGPH,Long phone,H4
LINK,Linkeo.com,H5
LLEI,Lleida networks serveis telematics s.l,H6
LONE,Localphone Limited,H7
MARC,Magic fil telecom SAS,H8
MBIU,Mobius,H9
MCAZ,Microcaz,HA
MDIA,Holding 123 media corp,HB
MEIC,Metroptic,HC
MIAS,Mediaserv,HD
MKSD,MKS-Direct,HE
MWSP,Lasotel,HF
MYST,My stream,HG
NAVA,Navaho,HH
NERI,Nerim,HI
NORN,Nordnet,HJ
NOTL,Neotel,HK
NSIP,Neo center Est,HL
NUVO,TextMe France,HM
NWTI,Newtech interactive,HN
NXTO,Fiducial cloud,HO
ODBE,Odbee,HP
OP72,Optima72,HQ
OPEN,OpenIP,HR
OPST,OPS Telecom,HS
OPTI,Option service,HT
OPWA,Opwan,HU
ORIG,Rentabiliweb telecom,HV
OTFR,O'Telecom France,HW
OUTR,Outremer Telecom,HX
PAOP,Paritel operateur,HY
PHON,Keyyo,HZ
PHTE,PH Telecom,I0
POLY,Polymag,I1
PRCP,Preceptel,I2
PROS,Prosodie,I4
R188,Wayscom,I5
REMM,Remmedia,I6
RMII,Adista,I7
SENT,Senso telecom,I8
SEWA,Sewan communications,I9
SPMT,SAS SPM Telecom,IA
SRR,Société réunionnaise du radiotéléphone,IB
STEN,Stella telecom,IC
STMA,Saint Martin cable,ID
SYSE,Sysexpert,IE
TECH,Tech'care,IF
TERA,SEM E-Tera,IG
THEC,ThecallR,IH
TOBJ,Telecom.object,II
TRAT,Transatel,IJ
UPSA,Upsale,IK
VIAD,Viadialog,IL
VOXB,Voxbone,IM
WAEL,Wanatel,IN
WENG,Wengo,IO
WLLG,WLL Antilles-Guyane,IP
WLLR,WLL Réunion,IQ
WMNE,WM Networks,IR
ZEOP,Zeop,IS
AFIN,Afone infrastructure,IT
APPS,Apps2com,IU
COEN,Communication Océan Indien,IV
ERGA,Ergatel France,IW
ESEY,Eseye limited,IX
FRMT,Serinya telecom,IY
INNE,Infoline,IZ
LUXN,Luxnetwork,J0
TLON,Tel-on,J1
UNIC,Uniconnect,J2
