Opérateur,CodeOO
Afone,66
Alphalink,67
Auchan,65
Bazile Telecom,56
Bouygues Telecom / B&You [ex Universal Music Mobile],03
Breizh Mobile,49
Budget Mobile,68
Carrefour,54
Casino Mobile,
Colt,94
Coriolis Télécom Entreprise,01
Coriolis Télécom,10
France Télécom,90
Free mobile,04
Ftmvno,48
Futur Télécom,60
Infinity Telecom Mobile,
Joe Mobile,11
Keyyo (Orange),44
Keyyo (SFR),68
La Poste Mobile (ex Simplicime / Simpleo / Débitel),61
Lebara Mobile,25
Lycamobile,05
M6 Mobile (by Orange),01
Mblox,92
Mint Mobile,84
Mobisud,62
Netsize,93
Neuf Cegetel,63
NRJ (Bouygues),07
NRJ (Orange),57
NRJ (SFR),64
Numericable / Estvideo,22
Ocito,95
Oditel,
Orange / Sosh,01
Ortel Mobile,23
OVH,
OVHCloud,F6
Primus Mobile,
Prixtel (Orange),45
Prixtel (SFR),69
Réglo Mobile (ex E. Leclerc Mobile),66
Saint-Hubert Mobile,
SFR / RED,02
Sim+,68
[ex. Simyo],23
Sybase365,91
Syma mobile,55
Ten,53
Transatel (Bouygues),21
Transatel (Orange),56
Télé2,50
U-mobile,21
Vectone Mobile (Mundio Mobile),09
Verizon,96
[ex. Virgin Mobile / Breizh Mobile / Omea Telecom / Omer Telecom] (Orange),49
[ex. Virgin Mobile / Breizh Mobile / Omea Telecom / Omer Telecom] (SFR),06
Zéro Forfait / Call In Europe,68
